"","GEOID","NAME","variable","estimate","moe"
"2930","51650","Hampton city, Virginia","B15003_022",14215,754
"2931","51660","Harrisonburg city, Virginia","B15003_022",5427,545
"2932","51670","Hopewell city, Virginia","B15003_022",1564,284
"2933","51678","Lexington city, Virginia","B15003_022",542,169
"2934","51680","Lynchburg city, Virginia","B15003_022",8837,502
"2935","51683","Manassas city, Virginia","B15003_022",4683,476
"2936","51685","Manassas Park city, Virginia","B15003_022",2284,420
"2937","51690","Martinsville city, Virginia","B15003_022",1193,200
"2938","51700","Newport News city, Virginia","B15003_022",17727,884
"2939","51710","Norfolk city, Virginia","B15003_022",25001,1003
"2940","51720","Norton city, Virginia","B15003_022",368,106
"2941","51730","Petersburg city, Virginia","B15003_022",2254,312
"2942","51735","Poquoson city, Virginia","B15003_022",2009,252
"2943","51740","Portsmouth city, Virginia","B15003_022",9067,681
"2944","51750","Radford city, Virginia","B15003_022",1410,266
"2945","51760","Richmond city, Virginia","B15003_022",33703,1112
"2946","51770","Roanoke city, Virginia","B15003_022",9955,668
"2947","51775","Salem city, Virginia","B15003_022",2995,339
"2948","51790","Staunton city, Virginia","B15003_022",3268,370
"2949","51800","Suffolk city, Virginia","B15003_022",9585,491
"2950","51810","Virginia Beach city, Virginia","B15003_022",68828,1429
"2951","51820","Waynesboro city, Virginia","B15003_022",1967,323
"2952","51830","Williamsburg city, Virginia","B15003_022",2022,255
"2953","51840","Winchester city, Virginia","B15003_022",3364,373
"2954","53001","Adams County, Washington","B15003_022",946,140
"2955","53003","Asotin County, Washington","B15003_022",2429,317
"2956","53005","Benton County, Washington","B15003_022",22888,939
"2957","53007","Chelan County, Washington","B15003_022",7907,731
"2958","53009","Clallam County, Washington","B15003_022",8252,643
"2959","53011","Clark County, Washington","B15003_022",58319,1638
"2960","53013","Columbia County, Washington","B15003_022",545,96
"2961","53015","Cowlitz County, Washington","B15003_022",6908,603
"2962","53017","Douglas County, Washington","B15003_022",3293,376
"2963","53019","Ferry County, Washington","B15003_022",620,130
"2964","53021","Franklin County, Washington","B15003_022",5431,458
"2965","53023","Garfield County, Washington","B15003_022",270,73
"2966","53025","Grant County, Washington","B15003_022",6140,568
"2967","53027","Grays Harbor County, Washington","B15003_022",5191,525
"2968","53029","Island County, Washington","B15003_022",11987,674
"2969","53031","Jefferson County, Washington","B15003_022",5795,419
"2970","53033","King County, Washington","B15003_022",460158,3442
"2971","53035","Kitsap County, Washington","B15003_022",36819,1066
"2972","53037","Kittitas County, Washington","B15003_022",6134,458
"2973","53039","Klickitat County, Washington","B15003_022",2725,394
"2974","53041","Lewis County, Washington","B15003_022",5159,446
"2975","53043","Lincoln County, Washington","B15003_022",1168,149
"2976","53045","Mason County, Washington","B15003_022",5599,596
"2977","53047","Okanogan County, Washington","B15003_022",3338,434
"2978","53049","Pacific County, Washington","B15003_022",1746,268
"2979","53051","Pend Oreille County, Washington","B15003_022",1346,172
"2980","53053","Pierce County, Washington","B15003_022",96186,1999
"2981","53055","San Juan County, Washington","B15003_022",3683,194
"2982","53057","Skagit County, Washington","B15003_022",13821,593
"2983","53059","Skamania County, Washington","B15003_022",1151,136
"2984","53061","Snohomish County, Washington","B15003_022",114528,2046
